bjs258373771,浏阳,特好看，特好看,4.5,2018-12-03 17:50:48
、Triste。,郑州,，挺好的，感觉节奏有点紧,5.0,2018-12-03 17:50:47
Eyj120371377,宁波,不错哦⊙∀⊙！⊙∀⊙！⊙∀⊙！,5.0,2018-12-03 17:50:41
RVu355110227,钦州,很好看非常不错,5.0,2018-12-03 17:50:32
Lec996975583,无锡,感觉有删减的部分,4.0,2018-12-03 17:50:27
二莫子,贵阳,不错的挺好的,5.0,2018-12-03 17:48:53
万安跟你说晚安,石家庄,非常好看 但是刚发现网上买票居然比在电影院看购票还要贵是怎么回事？？？？。。。。。在北国商城的成龙影城 不得不说影院硬件还是很棒的,5.0,2018-12-03 17:48:37
沐西的妈,芜湖,电影挺不错的，,5.0,2018-12-03 17:48:31
两颗树555,常州,不错！电影很好看！,5.0,2018-12-03 17:47:35
淋淋淋淋兔,郑州,奶思奶思奶思啊啊啊 毒液附体,5.0,2018-12-03 17:46:43
一条萌萌哒的狗,成都,陆，可以了塞。,5.0,2018-12-03 17:46:00
一大碗鱼骨头,扬州,还行叭………,4.0,2018-12-03 17:45:53
fHy218809861,遵义,还可以看，如有续集，还看。,4.0,2018-12-03 17:45:44
丿至尊丶天顺,银川,很优秀，和朋友看的。,5.0,2018-12-03 17:45:22
dinght168,深圳,好看，可能是一个惊悚片，拍成喜剧片,4.5,2018-12-03 17:44:54
阿明大,临沂,我包场了，圆满,5.0,2018-12-03 17:43:44
jtO944667345,北京,好，朋友都说超赞,5.0,2018-12-03 17:43:41
乔乔1774,北京,身为漫威迷这次是看的最迟的一次，一个人，大风的下午……很好看，居然爱上了毒液！,5.0,2018-12-03 17:43:02
哎哟喂dghb,辽源,好看。。。。。。,5.0,2018-12-03 17:42:59
mkq660197297,鄂州,开始觉得有点血腥，看完整体还不错,4.0,2018-12-03 17:42:57
azs314567667,梅州,真的特别特别好看,5.0,2018-12-03 17:41:57
DSj258944414,南通,一般一般很一般,3.5,2018-12-03 17:40:53
A呦蓝张温柔,徐州,好看，很多人去看,5.0,2018-12-03 17:40:51
Thb355948921,孝感,好看！！！！！,4.5,2018-12-03 17:40:29
恋爱遗弃,济源,不赖没辜负我的好奇心,5.0,2018-12-03 17:40:21
mCc197685970,北京,只能说还凑合，剧情比较老套，不过最后看到老爷子感触良多。,3.5,2018-12-03 17:40:01
马易蓉儿,兰州,特效不错，语言幽默，故事情节可以。,5.0,2018-12-03 17:39:41
cj欣雨,诸暨,还不错，看看看看,5.0,2018-12-03 17:39:39
小阿涵…………,北京,好看！！摸摸哒,4.5,2018-12-03 17:39:01
hui8762756,常州,好看好看好看,5.0,2018-12-03 17:38:31
Hab778100737,武汉,好看极了，画面酷,5.0,2018-12-03 17:38:30
EWg627244372,许昌,好看！毒液好萌！,5.0,2018-12-03 17:38:08
vTN32313527,合肥,没看过4D电影，很棒的体验，跟看现场一样，凳子都可以随着剧情起伏波动。很刺激,5.0,2018-12-03 17:38:05
A龚盛15707007221,上海,剧情太简单，没点悬念啥的,1.5,2018-12-03 17:37:56
lPv276829373,武汉,真的好看，看了两遍的人。。。。,4.5,2018-12-03 17:37:24
整天就是吃喝玩乐,临汾,好看好看！！,5.0,2018-12-03 17:36:29
zhengchifeng,杭州,好看的～～～～～～！,4.5,2018-12-03 17:36:18
lcy5034,绍兴,一般吧，没有期待的好看。,2.5,2018-12-03 17:35:44
掉毛炽天使,阜新,前面有点无趣，共生前的铺垫太长了……其他还行……,4.5,2018-12-03 17:35:28
hexian222,佛山,动作场面震撼，剧情一般,5.0,2018-12-03 17:34:31
